id,cnn,side,streetname_gc,from_addr,to_addr,zip_code,neighborhood,meter_count,has_special_event_meters
2615000_L,2615000,L,BAKER ST,951,1099,94115,Anza Vista,0,False
2615000_R,2615000,R,BAKER ST,960,1098,94115,Anza Vista,0,False
2616000_L,2616000,L,BAKER ST,1301,1399,94115,Lower Pacfic Heights,0,False
2616000_R,2616000,R,BAKER ST,1302,1398,94115,Lower Pacfic Heights,0,False
2617000_L,2617000,L,BAKER ST,1401,1499,94115,Lower Pacfic Heights,0,False
2617000_R,2617000,R,BAKER ST,1400,1498,94115,Lower Pacfic Heights,0,False
2618000_L,2618000,L,BAKER ST,1501,1599,94115,Lower Pacfic Heights,0,False
2618000_R,2618000,R,BAKER ST,1500,1598,94115,Lower Pacfic Heights,0,False
2619000_L,2619000,L,BAKER ST,1601,1699,94115,Lower Pacfic Heights,0,False
2619000_R,2619000,R,BAKER ST,1600,1698,94115,Lower Pacfic Heights,0,False
2620000_L,2620000,L,BAKER ST,1701,1799,94115,Lower Pacfic Heights,0,False
2620000_R,2620000,R,BAKER ST,1700,1798,94115,Lower Pacfic Heights,0,False
2621000_L,2621000,L,BAKER ST,1801,1899,94115,Pacific Heights,0,False
2621000_R,2621000,R,BAKER ST,1800,1898,94115,Pacific Heights,0,False
2622000_L,2622000,L,BAKER ST,1901,1999,94115,Pacific Heights,0,False
2622000_R,2622000,R,BAKER ST,1900,1998,94115,Pacific Heights,0,False
2623000_L,2623000,L,BAKER ST,2001,2099,94115,Pacific Heights,0,False
2623000_R,2623000,R,BAKER ST,2000,2098,94115,Pacific Heights,0,False
2624000_L,2624000,L,BAKER ST,2101,2199,94115,Pacific Heights,0,False
2624000_R,2624000,R,BAKER ST,2100,2198,94115,Pacific Heights,0,False
2625000_L,2625000,L,BAKER ST,2201,2299,94115,Pacific Heights,0,False
2625000_R,2625000,R,BAKER ST,2200,2298,94115,Pacific Heights,0,False
2626000_L,2626000,L,BAKER ST,2301,2399,94115,Pacific Heights,0,False
2626000_R,2626000,R,BAKER ST,2300,2398,94115,Pacific Heights,0,False
2627000_L,2627000,L,BAKER ST,2401,2449,94123,Pacific Heights,0,False
2627000_R,2627000,R,BAKER ST,2400,2450,94123,Pacific Heights,0,False
2628000_L,2628000,L,BAKER ST,2451,2499,94123,Pacific Heights,0,False
2628000_R,2628000,R,BAKER ST,2452,2498,94123,Pacific Heights,0,False
2629000_L,2629000,L,BAKER ST,2501,2599,94123,Pacific Heights,0,False
2629000_R,2629000,R,BAKER ST,2500,2598,94123,Pacific Heights,0,False
2630000_L,2630000,L,BAKER ST,2601,2699,94123,Pacific Heights,0,False
2630000_R,2630000,R,BAKER ST,2600,2698,94123,Pacific Heights,0,False
2631000_L,2631000,L,BAKER ST,2701,2799,94123,Cow Hollow,0,False
2631000_R,2631000,R,BAKER ST,2700,2798,94123,Cow Hollow,0,False
2632000_L,2632000,L,BAKER ST,2801,2827,94123,Cow Hollow,0,False
2632000_R,2632000,R,BAKER ST,2800,2828,94123,Cow Hollow,0,False
2633000_L,2633000,L,BAKER ST,2829,2899,94123,Cow Hollow,0,False
2633000_R,2633000,R,BAKER ST,2830,2898,94123,Cow Hollow,0,False
2634000_L,2634000,L,BAKER ST,2901,2999,94123,Cow Hollow,0,False
2634000_R,2634000,R,BAKER ST,2900,2998,94123,Cow Hollow,0,False
2635000_L,2635000,L,BAKER ST,3001,3099,94123,Cow Hollow,0,False
2635000_R,2635000,R,BAKER ST,3000,3098,94123,Cow Hollow,0,False
2637000_L,2637000,L,BAKER ST,3151,3199,94123,Marina,0,False
2637000_R,2637000,R,BAKER ST,3152,3198,94123,Marina,0,False
2638000_L,2638000,L,BAKER ST,3201,3299,94123,Marina,0,False
2638000_R,2638000,R,BAKER ST,3200,3298,94123,Marina,0,False
2639000_L,2639000,L,BAKER ST,3301,3349,94123,Marina,0,False
2639000_R,2639000,R,BAKER ST,3300,3328,94123,Marina,0,False
