cnn,street_name,side,cardinal_direction,from_address,to_address,number_range
111000,01ST ST,L,,301,331,301-331
129000,02ND ST,L,,1,35,1-35
132000,02ND ST,L,,101,129,101-129
133000,02ND ST,L,,131,163,131-163
134000,02ND ST,L,,165,199,165-199
130000,02ND ST,L,,37,67,37-67
131000,02ND ST,L,,69,99,69-99
207101,03RD ST,R,,0,0,0-0
204101,03RD ST,R,,0,0,0-0
205201,03RD ST,L,,0,0,0-0
216201,03RD ST,L,,0,0,0-0
208101,03RD ST,R,,0,0,0-0
211201,03RD ST,L,,0,0,0-0
191201,03RD ST,L,,0,0,0-0
224101,03RD ST,R,,0,0,0-0
185203,03RD ST,L,,0,0,0-0
212101,03RD ST,R,,0,0,0-0
218201,03RD ST,L,,0,0,0-0
231201,03RD ST,L,,0,0,0-0
200201,03RD ST,L,,0,0,0-0
185207,03RD ST,L,,0,0,0-0
207201,03RD ST,L,,0,0,0-0
185105,03RD ST,R,,0,0,0-0
194101,03RD ST,R,,0,0,0-0
185204,03RD ST,L,,0,0,0-0
225102,03RD ST,R,,0,0,0-0
189201,03RD ST,L,,0,0,0-0
206201,03RD ST,L,,0,0,0-0
185104,03RD ST,R,,0,0,0-0
223101,03RD ST,R,,0,0,0-0
186201,03RD ST,L,,0,0,0-0
212201,03RD ST,L,,0,0,0-0
199201,03RD ST,L,,0,0,0-0
220201,03RD ST,L,,0,0,0-0
218101,03RD ST,R,,0,0,0-0
184101,03RD ST,R,,0,0,0-0
225101,03RD ST,R,,0,0,0-0
213101,03RD ST,R,,0,0,0-0
202101,03RD ST,R,,0,0,0-0
227103,03RD ST,R,,0,0,0-0
221101,03RD ST,R,,0,0,0-0
211101,03RD ST,R,,0,0,0-0
200202,03RD ST,L,,0,0,0-0
229201,03RD ST,L,,0,0,0-0
208201,03RD ST,L,,0,0,0-0
233101,03RD ST,R,,0,0,0-0
205101,03RD ST,R,,0,0,0-0
198201,03RD ST,L,,0,0,0-0
223201,03RD ST,L,,0,0,0-0
189101,03RD ST,R,,0,0,0-0
226201,03RD ST,L,,0,0,0-0
231101,03RD ST,R,,0,0,0-0
203101,03RD ST,R,,0,0,0-0
203201,03RD ST,L,,0,0,0-0
222201,03RD ST,L,,0,0,0-0
224201,03RD ST,L,,0,0,0-0
217201,03RD ST,L,,0,0,0-0
192201,03RD ST,L,,0,0,0-0
226101,03RD ST,R,,0,0,0-0
209201,03RD ST,L,,0,0,0-0
185206,03RD ST,L,,0,0,0-0
227102,03RD ST,R,,0,0,0-0
219101,03RD ST,R,,0,0,0-0
204201,03RD ST,L,,0,0,0-0
185103,03RD ST,R,,0,0,0-0
202201,03RD ST,L,,0,0,0-0
220102,03RD ST,R,,0,0,0-0
199101,03RD ST,R,,0,0,0-0
217101,03RD ST,R,,0,0,0-0
215201,03RD ST,L,,0,0,0-0
190201,03RD ST,L,,0,0,0-0
214101,03RD ST,R,,0,0,0-0
198101,03RD ST,R,,0,0,0-0
228201,03RD ST,L,,0,0,0-0
197101,03RD ST,R,,0,0,0-0
232101,03RD ST,R,,0,0,0-0
227201,03RD ST,L,,0,0,0-0
188201,03RD ST,L,,0,0,0-0
209101,03RD ST,R,,0,0,0-0
232201,03RD ST,L,,0,0,0-0
185102,03RD ST,R,,0,0,0-0
197201,03RD ST,L,,0,0,0-0
194201,03RD ST,L,,0,0,0-0
200101,03RD ST,R,,0,0,0-0
206102,03RD ST,R,,0,0,0-0
213201,03RD ST,L,,0,0,0-0
225201,03RD ST,L,,0,0,0-0
215101,03RD ST,R,,0,0,0-0
185101,03RD ST,R,,0,0,0-0
214201,03RD ST,L,,0,0,0-0
206101,03RD ST,R,,0,0,0-0
230201,03RD ST,L,,0,0,0-0
228101,03RD ST,R,,0,0,0-0
191101,03RD ST,R,,0,0,0-0
185201,03RD ST,L,,0,0,0-0
210101,03RD ST,R,,0,0,0-0
221201,03RD ST,L,,0,0,0-0
230202,03RD ST,L,,0,0,0-0
220101,03RD ST,R,,0,0,0-0
195101,03RD ST,R,,0,0,0-0
185208,03RD ST,L,,0,0,0-0
185202,03RD ST,L,,0,0,0-0
210201,03RD ST,L,,0,0,0-0
216101,03RD ST,R,,0,0,0-0
190101,03RD ST,R,,0,0,0-0
219201,03RD ST,L,,0,0,0-0
222101,03RD ST,R,,0,0,0-0
229101,03RD ST,R,,0,0,0-0
195201,03RD ST,L,,0,0,0-0
230101,03RD ST,R,,0,0,0-0
186101,03RD ST,R,,0,0,0-0
192101,03RD ST,R,,0,0,0-0
184201,03RD ST,L,,nan,nan,nan-nan
19980000,04TH ST,R,,1050,1098,1050-1098
325000,06TH AVE,R,,1501,1599,1501-1599
342000,06TH ST,L,,643,699,643-699
380001,07TH ST,L,,1001,1049,1001-1049
380002,07TH ST,L,,1051,1099,1051-1099
380000,07TH ST,R,,nan,nan,nan-nan
402000,08TH AVE,L,,1900,1938,1900-1938
444101,09TH AVE,R,,0,0,0-0
444202,09TH AVE,L,,0,0,0-0
444201,09TH AVE,L,,0,0,0-0
444102,09TH AVE,R,,0,0,0-0
