CNN,Street/Corridor,Present_Side,Missing_Side,Present_Day,Present_Time,Present_Limits,Verification_Status,Opposite_Side_Schedule,Notes
111000,01st St,R,L,Wed,0-2,Folsom St  -  Guy Pl,,,
130000,02nd St,R,L,Tues,3-5,Stevenson St  -  Jessie St,,,
132000,02nd St,R,L,Wed,3-5,Mission St  -  Minna St,,,
131000,02nd St,R,L,Thu,3-5,Jessie St  -  Mission St,,,
129000,02nd St,R,L,Thu,3-5,Market St  -  Stevenson St,,,
134000,02nd St,R,L,Tues,3-5,Natoma St  -  Howard St,,,
133000,02nd St,R,L,Tues,3-5,Minna St  -  Natoma St,,,
207101,03rd St,L,R,Wed,2-6,Newhall St  -  Kirkwood Ave,,,
204101,03rd St,L,R,Tues,2-6,Galvez Ave  -  Hudson Ave,,,
205201,03rd St,R,L,Wed,2-6,Hudson Ave  -  Innes Ave,,,
216201,03rd St,R,L,Fri,4-6,Shafter Ave  -  Thomas Ave,,,
208101,03rd St,L,R,Sun,2-6,Kirkwood Ave  -  La Salle Ave,,,
211201,03rd St,R,L,Thu,2-6,Newcomb Ave  -  Oakdale Ave,,,
191201,03rd St,R,L,Fri,2-6,22nd St  -  23rd St,,,
224101,03rd St,L,R,Thu,2-6,Bancroft Ave  -  Carroll Ave,,,
185203,03rd St,R,L,Sun,2-6,Start:  Block  -  End:  Block,,,
212101,03rd St,L,R,Sun,2-6,Oakdale Ave  -  Palou Ave,,,
218201,03rd St,R,L,Sun,2-6,Thornton Ave  -  Underwood Ave,,,
231201,03rd St,R,L,Sun,2-6,Jamestown Ave  -  Key Ave,,,
200201,03rd St,R,L,Mon,4-6,Custer Ave  -  Phelps St,,,
185207,03rd St,R,L,Fri,0-6,Start:  Block  -  South Street,,,
207201,03rd St,R,L,Fri,4-6,Newhall St  -  Kirkwood Ave,,,
185105,03rd St,L,R,Wed,2-6,Start:  Block  -  16th St,,,
184201,03rd St,R,L,Fri,0-6,Channel    -  Mission Rock St,,,
194101,03rd St,L,R,Tues,2-6,25th St  -  26th St,,,
185204,03rd St,R,L,Fri,0-6,Start:  Block  -  Nelson Rising Ln,,,
225102,03rd St,L,R,Tues,2-6,Donner Ave  -  Egbert Ave,,,
189201,03rd St,R,L,Sun,2-6,19th St  -  20th St,,,
206201,03rd St,R,L,Thu,2-6,Innes Ave  -  Newhall St,,,
185104,03rd St,L,R,Sun,2-6,Mission Bay South Blvd  -  End:  Block,,,
223101,03rd St,L,R,Tues,2-6,Armstrong Ave  -  Bancroft Ave,,,
186201,03rd St,R,L,Mon,2-6,16th St  -  Mariposa St,,,
212201,03rd St,R,L,Mon,4-6,Oakdale Ave  -  Palou Ave,,,
199201,03rd St,R,L,Wed,2-6,Burke Ave  -  Custer Ave,,,
220201,03rd St,R,L,Holiday,2-6,Williams Ave  -  Lane St,,,
218101,03rd St,L,R,Wed,2-6,Thornton Ave  -  Underwood Ave,,,
184101,03rd St,L,R,Fri,2-6,Channel    -  Mission Rock St,,,
225101,03rd St,L,R,Tues,2-6,Carroll Ave  -  Donner Ave,,,
213101,03rd St,L,R,Holiday,2-6,Palou Ave  -  Quesada Ave,,,
202101,03rd St,L,R,Thu,2-6,Evans Ave  -  Fairfax Ave,,,
227103,03rd St,L,R,Mon,4-6,Keith St  -  Gilman Ave,,,
221101,03rd St,L,R,Wed,2-6,Lane St  -  Yosemite Ave,,,
211101,03rd St,L,R,Thu,2-6,Newcomb Ave  -  Oakdale Ave,,,
200202,03rd St,R,L,Tues,2-6,Phelps St  -  Davidson Ave,,,
229201,03rd St,R,L,Sat,2-6,Hollister Ave  -  Ingerson Ave,,,
208201,03rd St,R,L,Tues,2-6,Kirkwood Ave  -  La Salle Ave,,,
233101,03rd St,L,R,Wed,9-11,Le Conte Ave  -  Bay Shore Blvd,,,
205101,03rd St,L,R,Thu,2-6,Hudson Ave  -  Innes Ave,,,
198201,03rd St,R,L,Sat,2-6,Cargo Way  -  Burke Ave,,,
223201,03rd St,R,L,Mon,4-6,Armstrong Ave  -  Bancroft Ave,,,
189101,03rd St,L,R,Tues,2-6,19th St  -  20th St,,,
226201,03rd St,R,L,Sun,2-6,Egbert Ave  -  Fitzgerald Ave,,,
231101,03rd St,L,R,Sun,2-6,Jamestown Ave  -  Key Ave,,,
203101,03rd St,L,R,Wed,2-6,Fairfax Ave  -  Galvez Ave,,,
203201,03rd St,R,L,Thu,2-6,Fairfax Ave  -  Galvez Ave,,,
222201,03rd St,R,L,Tues,2-6,Yosemite Ave  -  Armstrong Ave,,,
224201,03rd St,R,L,Mon,4-6,Bancroft Ave  -  Carroll Ave,,,
217201,03rd St,R,L,Thu,2-6,Thomas Ave  -  Thornton Ave,,,
192201,03rd St,R,L,Mon,2-6,23rd St  -  24th St,,,
